Figure,Monument,Address,State,Area,Lat,Long,Monument_Type,Dedication_Year,DY_Date
cook,200th Anniversary of the Exploration of the East Coast of Australia,"Mid Western Highway, McCann Park, West Wyalong, 2671",NSW,AUS,-33.921593,147.200795,Monument,1970,1/1/70
cook,200th Anniversary of the Exploration of the East Coast of Australia,"Tingira Street, Little Blowhole Reserve, Endeavour Lookout, Kiama, 2533",NSW,AUS,-34.687042,150.858822,Structure,1971,1/1/71
cook,200th Anniversary of the Sighting of the East Coast of Australia,"Point Hicks Road, Lighthouse Track, Point Hicks Lighthouse, Tamboon, 3880",VIC,AUS,-37.802761,149.275607,Monument,1970,1/1/70
cook,50 Years Lions Club International,"Captain Cook Bicentenary Road, Mons Lookout, Laurieton, 2443",NSW,AUS,-31.657281,152.777928,Plaque,1997,1/1/97
cook,Bicentenary of Captain Cook`s Exploration,"50 Macquarie Street, Town Hall, Hobart, 7000",TAS,AUS,-42.882539,147.330807,Plaque,1970,1/1/70
cook,Bicentenary of Captain Cook`s Exploration,"Argyle & Lower Fort Streets, Argyle Place Park , Millers Point, 2000",NSW,AUS,-33.858522,151.205142,Technology,1970,1/1/70
cook,Bicentenary of Captain Cook`s Exploration,"River Street, Captain James Cook Memorial Park, Ballina, 2478",NSW,AUS,-28.869623,153.557746,Park,1970,1/1/70
cook,Bicentenary of Captain Cook`s Exploration,"Market Street & Appin Road, Appin, 2560",NSW,AUS,-34.199444,150.788056,Garden,1970,1/1/70
cook,Bicentenary of Captain Cook`s Exploration,"63 McDonald Parade, Burrill Lake, 2535",NSW,AUS,-35.386588,150.449231,Monument,1970,1/1/70
cook,Bicentenary of Captain Cook`s Exploration,"Albury Street, Commander Holbrook Memorial Park, Holbrook, 2644",NSW,AUS,-35.719434,147.316833,Technology,1971,1/1/71
cook,Bicentenary of Captain Cook`s Exploration,"Pacific Highway , Hornsby Park, Hornsby, 2077",NSW,AUS,-33.701343,151.09677,Fountain,1970,1/1/70
cook,Bicentenary of Captain Cook`s Exploration,"Ryde Road & Matthews Street, Figtree Park, Hunters Hill, 2110",NSW,AUS,-33.832111,151.142137,Tree,1970,1/1/70
