Year,Figure,Monument_Type,value,id
1970,cook,Monument,1,1
1971,cook,Structure,1,2
1970,cook,Monument,1,3
1997,cook,Plaque,1,4
1970,cook,Plaque,1,5
1970,cook,Technology,1,6
1970,cook,Park,1,7
1970,cook,Garden,1,8
1970,cook,Monument,1,9
1971,cook,Technology,1,10
1970,cook,Fountain,1,11
1970,cook,Tree,1,12
1970,cook,Monument,1,13
1970,cook,Monument,1,14
1970,cook,Fountain,1,15
1970,cook,Fountain,1,16
1970,cook,Monument,1,17
1970,cook,Structure,1,18
1970,cook,Structure,1,19
1970,cook,Garden,1,20
1970,cook,Trees,1,21
1970,cook,Plaque,1,22
1879,cook,Sculpture,1,23
1970,cook,Monument,1,24
1970,cook,Technology,1,25
1970,cook,Monument,1,26
1970,cook,Monument,1,27
1995,cook,Park,1,28
1970,cook,Monument,1,29
1970,cook,Monument,1,30
1924,cook,Monument,1,31
2008,cook,Art,1,32
1970,cook,Structure,1,33
1870,cook,Monument,1,34
1970,cook,Monument,1,35
1854,cook,Monument,1,36
1879,cook,Sculpture,1,37
1906,cook,Sculpture,1,38
1934,cook,Structure,1,39
2014,cook,Sculpture,1,40
1970,cook,Monument,1,41
1970,cook,Monument,1,42
1970,cook,Monument,1,43
1888,cook,Monument,1,44
1988,cook,Sculpture,1,45
1970,cook,Structure,1,46
1970,cook,Monument,1,47
1926,cook,Monument,1,48
1970,cook,Garden,1,49
1988,cook,Plaque,1,50
1961,cook,Monument,1,51
1988,cook,Structure,1,52
1974,cook,Plaque,1,53
1974,cook,Plaque,1,54
1973,cook,Monument,1,55
1988,cook,Monument,1,56
2013,cook,Monument,1,57
1970,cook,Monument,1,58
1933,cook,Monument,1,59
1971,cook,Garden,1,60
1953,cook,Monument,1,61
1948,cook,Plaque,1,62
1934,cook,Plaque,1,63
1925,cook,Monument,1,64
1970,cook,Monument,1,65
1970,cook,Garden,1,66
1995,banks,Sculpture,1,67
1994,banks,Flagpole,1,68
1914,solander,Monument,1,69
1982,solander,Garden,1,70
2013,banks,Plaque,1,71
2000,banks,Structure,1,72
2000,banks,Monument,1,73
2000,banks,Monument,1,74
1985,banks,Plaque,1,75
1964,banks,Sculpture,1,76
1844,banks,Monument,1,77
1947,banks,Monument,1,78
