"Figure","Monument_Type","from","to","weight"
"macquarie","Garden",1810,1938,1
"macquarie","Grave",1810,1810,1
"macquarie","Monument",1810,1818,1
"macquarie","Monument",1810,1895,1
"macquarie","Monument",1810,1900,1
"macquarie","Monument",1810,1920,1
"macquarie","Monument",1810,1926,1
"macquarie","Monument",1810,1929,1
"macquarie","Monument",1810,1930,1
"macquarie","Monument",1810,1936,1
"macquarie","Monument",1810,1939,2
"macquarie","Monument",1810,1951,1
"macquarie","Monument",1810,1956,1
"macquarie","Monument",1810,1960,1
"macquarie","Monument",1810,1962,1
"macquarie","Monument",1810,1967,1
"macquarie","Monument",1810,1968,1
"macquarie","Monument",1810,1971,2
"macquarie","Monument",1810,1972,1
"macquarie","Monument",1810,1975,1
"macquarie","Monument",1810,1978,1
"macquarie","Monument",1810,1985,1
"macquarie","Monument",1810,1986,2
"macquarie","Monument",1810,1988,5
"macquarie","Monument",1810,1992,1
"macquarie","Monument",1810,2000,1
"macquarie","Monument",1810,2007,2
"macquarie","Monument",1810,2008,1
"macquarie","Monument",1810,2011,1
"macquarie","Monument",1810,2013,1
"macquarie","Monument",1810,2018,2
"macquarie","Plaque",1810,1900,1
"macquarie","Plaque",1810,1961,1
"macquarie","Plaque",1810,1965,1
"macquarie","Plaque",1810,1967,1
"macquarie","Plaque",1810,1968,1
"macquarie","Plaque",1810,1980,1
"macquarie","Plaque",1810,1990,1
"macquarie","Plaque",1810,1992,1
"macquarie","Plaque",1810,1993,1
"macquarie","Plaque",1810,2010,3
"macquarie","Plaque",1810,2013,2
"macquarie","Plaque",1810,2015,1
"macquarie","Plaque",1810,2017,1
"macquarie","Sculpture",1810,1988,1
"macquarie","Sculpture",1810,1994,1
"macquarie","Sculpture",1810,1998,1
"macquarie","Sculpture",1810,2012,1
"macquarie","Sculpture",1810,2013,1
"macquarie","Sculpture",1810,2016,1
"macquarie","Structure",1810,1988,1
"macquarie","Structure",1810,2011,1
"macquarie","Structure",1810,2013,1
"macquarie","Technology",1810,1890,1
"macquarie","Technology",1810,1938,1
"macquarie","Trees",1810,1945,1
