"Figure","Monument_Type","from","to","weight"
"Flinders","Monument",1788,1972,1
"Flinders","Monument",1788,1982,1
"Flinders","Monument",1788,2002,1
"Flinders","Plaque",1788,2012,1
"Phillip","Art",1788,1988,1
"Phillip","Flagpole",1788,1988,1
"Phillip","Fountain",1788,1988,1
"Phillip","Garden",1788,1938,1
"Phillip","Garden",1788,1988,2
"Phillip","Honour Roll",1788,1995,1
"Phillip","Monument",1788,1818,1
"Phillip","Monument",1788,1912,1
"Phillip","Monument",1788,1927,1
"Phillip","Monument",1788,1929,2
"Phillip","Monument",1788,1932,1
"Phillip","Monument",1788,1939,1
"Phillip","Monument",1788,1952,1
"Phillip","Monument",1788,1956,1
"Phillip","Monument",1788,1967,1
"Phillip","Monument",1788,1970,1
"Phillip","Monument",1788,1988,26
"Phillip","Monument",1788,1999,1
"Phillip","Park",1788,1988,9
"Phillip","Plaque",1788,1952,1
"Phillip","Plaque",1788,1983,1
"Phillip","Plaque",1788,1988,24
"Phillip","Plaque",1788,2002,1
"Phillip","Plaque",1788,2003,1
"Phillip","Plaque",1788,2004,1
"Phillip","Sculpture",1788,1954,1
"Phillip","Sculpture",1788,1980,1
"Phillip","Sculpture",1788,1987,1
"Phillip","Sculpture",1788,2003,1
"Phillip","Sculpture",1788,2010,1
"Phillip","Seat",1788,1988,1
"Phillip","Structure",1788,1987,1
"Phillip","Structure",1788,1988,6
"Phillip","Structure",1788,1989,1
"Phillip","Technology",1788,1988,2
"Phillip","Tree",1788,1988,5
"Phillip","Tree",1788,1993,1
"Phillip","Trees",1788,1963,1
"Phillip","Trees",1788,1988,1
"Phillip","Window",1788,1988,1
