Year,Colonial Expansion,First Fleet,Voyage of Endeavour
1810,1,0,0
1818,1,1,0
1844,0,0,1
1854,0,0,1
1870,0,0,1
1879,0,0,2
1888,0,0,1
1890,1,0,0
1895,1,0,0
1900,2,0,0
1906,0,0,1
1912,0,1,0
1914,0,0,1
1920,1,0,0
1924,0,0,1
1925,0,0,1
1926,1,0,1
1927,0,1,0
1929,1,2,0
1930,1,0,0
1932,0,1,0
1933,0,0,1
1934,0,0,2
1936,1,0,0
1938,2,1,0
1939,2,1,0
1945,1,0,0
1947,0,0,1
1948,0,0,1
1951,1,0,0
1952,0,2,0
1953,0,0,1
1954,0,1,0
1956,1,1,0
1960,1,0,0
1961,1,0,1
1962,1,0,0
1963,0,1,0
1964,0,0,1
1965,1,0,0
1967,2,1,0
1968,2,0,0
1970,0,1,36
1971,2,0,3
1972,1,1,0
1973,0,0,1
1974,0,0,2
1975,1,0,0
1978,1,0,0
1980,1,1,0
1982,0,1,1
1983,0,1,0
1985,1,0,1
1986,2,0,0
1987,0,2,0
1988,7,80,4
1989,0,1,0
1990,1,0,0
1992,2,0,0
1993,1,1,0
1994,1,0,1
1995,0,1,2
1997,0,0,1
1998,1,0,0
1999,0,1,0
2000,1,0,3
2002,0,2,0
2003,0,2,0
2004,0,1,0
2007,2,0,0
2008,1,0,1
2010,3,1,0
2011,2,0,0
2012,1,1,0
2013,5,0,2
2014,0,0,1
2015,1,0,0
2016,1,0,0
2017,1,0,0
2018,2,0,0
